server,port,short_name
10.122.34.192,443,kcen-lcladdc02-rm
10.122.34.195,443,kcen-bcoasis01
10.122.34.92,443,10.122.34.92
10.122.56.198,443,cmch-buaas01-rm
10.122.56.45,443,10.122.56.45
10.122.56.8,443,10.122.56.8
10.122.58.32,443,cmch-user30
10.123.102.11,443,king-bccs01
10.123.102.12,443,king-oasis01
10.123.102.13,443,king-mp01
10.123.102.14,443,king-mp02
10.123.102.15,443,king-mp03
10.123.102.16,443,king-mp04
10.123.240.2,443,10.123.240.2
10.123.80.173,443,10.123.80.173
10.123.80.180,443,king-camio
10.123.80.64,443,king-mediaproxy
10.123.92.200,443,10.123.92.200
10.123.98.18,443,king-sccmdp01
10.123.98.91,443,king-lcladdc01-rm
10.124.1.11,443,10.124.1.11
10.124.3.30,443,10.124.3.30
10.124.3.31,443,10.124.3.31
10.13.117.191,443,10.13.117.191
10.13.117.90,443,wthr-compusat
10.13.118.221,443,dcmia4bf0119e0c3
10.13.210.125,443,wthr-13net
10.13.210.15,443,wthr-mg-sys-mgr
10.13.210.28,443,wthr-mediaproxy
10.13.210.71,443,wthr-lclencdr01-rm
10.13.90.180,443,wthr-camio01
10.13.90.24,443,10.13.90.24
10.13.90.243,443,wthr-enps-mbl
10.13.90.25,443,10.13.90.25
10.13.90.40,443,wthr-ovd-svr-01
10.13.90.41,443,wthr-ovd-svr-02
10.13.95.53,443,wthr-nas
10.13.99.41,443,wthr-bccs01
10.13.99.42,443,wthr-create01
10.13.99.44,443,wthr-oasis01
10.13.99.45,443,wthr-bcmpoint01
10.13.99.46,443,wthr-bcmpoint02
10.133.1.66,443,kpnx-sccmdp01
10.133.32.21,443,kpnx-mktnas01
10.138.184.145,443,kens-mediaproxy
10.140.203.27,443,10.140.203.27
10.140.203.28,443,10.140.203.28
10.140.203.29,443,10.140.203.29
10.140.203.38,443,10.140.203.38
10.140.204.102,443,kvue-bccs01
10.140.204.103,443,kvue-bccs02
10.140.204.104,443,kvue-oas01
10.140.204.105,443,kvue-mp01
10.140.204.106,443,kvue-mp02
10.140.204.177,443,kvue-enps-web
10.140.211.19,443,kvue-sccmdp01
10.140.211.23,443,kvue-nas1
10.140.211.51,443,kvue-mediaproxy
10.140.211.91,443,kvue-lcladdc01-rm
10.140.211.92,443,kvue-lcladdc02-rm
10.140.75.32,443,10.140.75.32
10.142.206.12,443,10.142.206.12
10.142.206.13,443,wvec-x2s-main
10.142.206.219,443,10.142.206.219
10.142.206.79,443,10.142.206.79
10.142.208.18,443,10.142.208.18
10.142.208.214,443,10.142.208.214
10.142.208.215,443,10.142.208.215
10.142.208.225,443,10.142.208.225
10.142.208.226,443,10.142.208.226
10.142.208.230,443,10.142.208.230
10.142.208.231,443,10.142.208.231
10.142.210.102,443,wvec-createnas
10.142.210.127,443,wvec-camio-01
10.142.210.13,443,wvec-sccmdp01
10.142.210.217,443,10.142.210.217
10.142.210.24,443,wvec-bces02
10.142.210.25,443,wvec-bcmedia01
10.142.210.26,443,wvec-bcmedia02
10.142.210.28,443,wvec-bcoasis01
10.142.210.29,443,wvec-bces01
10.142.210.50,443,wvec-mediaprxy2
10.145.141.122,443,10.145.141.122
10.145.193.151,443,10.145.193.151
10.145.193.230,443,10.145.193.230
10.145.210.49,443,wwl-lclsccm03
10.145.210.92,443,wwl-lcladdc02-rm
10.145.211.181,443,10.145.211.181
10.145.211.182,443,10.145.211.182
10.145.211.183,443,10.145.211.183
10.145.211.184,443,10.145.211.184
10.145.211.185,443,10.145.211.185
10.145.211.22,443,wwl-lclencdr01-rm
10.145.5.44,443,10.145.5.44
10.145.5.80,443,wwl-sw-coc-cons
10.145.75.158,443,10.145.75.158
10.145.75.214,443,10.145.75.214
10.145.75.215,443,10.145.75.215
10.164.10.11,443,wfaa-bccs01
10.164.10.12,443,wfaa-oasis01
10.164.10.13,443,wfaa-mp01
10.164.10.14,443,wfaa-mp02
10.164.10.15,443,wfaa-mp03
10.164.100.137,443,10.164.100.137
10.164.100.156,443,wfaa-sccmdp02
10.164.100.168,443,14654730
10.164.100.172,443,15132839
10.164.109.208,443,10.164.109.208
10.164.109.210,443,10.164.109.210
10.164.109.213,443,10.164.109.213
10.164.109.215,443,10.164.109.215
10.164.109.225,443,10.164.109.225
10.164.109.226,443,10.164.109.226
10.164.121.220,443,10.164.121.220
10.164.202.100,443,wfaa-chyron1
10.164.204.123,443,wfaa-enps-web
10.164.210.220,443,wfaa-mediaproxy
10.164.210.91,443,wfaa-lcladdc01-rm
10.164.210.92,443,10.164.210.92
10.164.5.106,443,wfaa-aja-mrr-r129.us.ad.gannett.com
10.164.5.37,443,wfaa-backuptransmit.us.ad.gannett.com
10.164.5.39,443,wfaa-maintransmit2.us.ad.gannett.com
10.167.111.135,443,10.167.111.135
10.167.35.40,443,10.167.35.40
10.172.0.29,443,10.172.0.29
10.172.101.107,443,tnmemof1oas001
10.172.7.29,443,watn-mediaproxy
10.174.110.11,443,whas-bccont01
10.174.110.21,443,whas-oas001
10.174.110.31,443,whas-media1
10.174.110.32,443,whas-media2
10.174.204.127,443,whas-camio1
10.174.204.134,443,whas-enps4
10.174.210.10,443,whas-sccmdp01
10.174.210.40,443,whas-mediaproxy
10.174.5.45,443,whas-rackroom-a
10.176.106.27,443,10.176.106.27
10.176.106.29,443,10.176.106.29
10.176.106.98,443,10.176.106.98
10.176.11.241,443,kgw-bcmedia01
10.176.11.242,443,kgw-bcmedia02
10.176.11.245,443,kgw-bces01
10.176.11.246,443,kgw-bcoasis01
10.176.120.50,443,10.176.120.50
10.176.202.30,443,kgw-camio01
10.176.210.142,443,kgw-mediaproxy
10.176.210.5,443,kgw-enps-mobile
10.176.210.7,443,kgw-lclsccm02
10.176.5.11,443,kgw-pcr1-sw01
10.176.5.19,443,kgw-000-r15-sw01
10.176.6.232,443,10.176.6.232
10.176.6.244,443,10.176.6.244
10.176.6.245,443,10.176.6.245
10.176.6.246,443,10.176.6.246
